ID|STAR|PERIOD|V_INTMEAN|L|B
366.0|OT Per|26.091000|13.479|157.19|0.56
367.0|V440 Per|7.570000|6.282|135.87|-5.17
368.0|X Pup|25.961000|8.460|236.14|-0.78
369.0|RS Pup|41.387600|6.947|252.43|-0.19
370.0|VW Pup|4.285370|11.365|235.37|-0.62
371.0|VX Pup|3.010870|8.328|237.02|-1.30
372.0|VZ Pup|23.171000|9.621|243.42|-3.31
373.0|WW Pup|5.516724|10.554|237.38|0.97
374.0|WX Pup|8.937050|9.063|241.51|-1.37
375.0|WY Pup|5.250800|10.569|241.78|2.71
376.0|WZ Pup|5.027286|10.326|241.77|3.34
377.0|AD Pup|13.594000|9.863|241.93|-0.03
378.0|AP Pup|5.084274|7.371|255.49|-5.72
379.0|AQ Pup|30.104000|8.791|246.16|0.11
380.0|AT Pup|6.664879|7.957|254.33|-1.61
381.0|BC Pup|3.544340||238.26|-2.67
382.0|BD Pup|3.918170||239.22|-3.02
383.0|BM Pup|7.198530|10.817|244.46|-1.00
384.0|BN Pup|13.673100|9.882|247.90|1.07
385.0|CK Pup|7.418280||239.83|-4.21
386.0|CM Pup|3.173370||235.51|-0.98
387.0|EK Pup|2.625940|10.664|240.77|-0.98
388.0|HL Pup|3.482500||251.31|0.06
389.0|HW Pup|13.454000|12.050|244.77|0.78
390.0|LL Pup|5.077530||246.78|-1.43
391.0|LQ Pup|4.517220||248.87|-2.10
392.0|LR Pup|3.331240||245.17|0.36
393.0|LS Pup|14.146400|10.442|246.38|0.13
394.0|LX Pup|13.880000||236.57|8.75
395.0|MY Pup|5.695309|5.677|261.31|-12.86
396.0|NT Pup|15.565000||254.63|-4.97
396.5|V335 Pup|4.860985|8.717|240.55|3.03
397.0|S Sge|8.382086|5.622|55.17|-6.12
398.0|DG Sge|4.437270|13.222|55.62|-1.62
399.0|GX Sge|12.899600|12.463|54.50|0.30
400.0|GY Sge|51.062500|10.151|54.94|-0.55
401.0|U Sgr|6.745229|6.695|13.71|-4.46
402.0|W Sgr|7.594904|4.668|1.58|-3.98
403.0|X Sgr|7.012877|4.549|1.17|0.21
404.0|Y Sgr|5.773380|5.744|12.79|-2.13
405.0|VY Sgr|13.557200|11.511|10.13|-1.08
406.0|WZ Sgr|21.849789|8.030|12.11|-1.32
407.0|XX Sgr|6.424140|8.852|14.99|-1.88
408.0|YZ Sgr|9.553687|7.358|17.75|-7.12
409.0|AP Sgr|5.057916|6.955|8.11|-2.44
410.0|AV Sgr|15.415000|11.391|7.53|-0.59
411.0|AY Sgr|6.569590|10.549|13.26|-2.40
412.0|BB Sgr|6.637102|6.947|14.67|-9.01
413.0|GK Sgr|14.867000||359.48|-8.08
414.0|V350 Sgr|5.154178|7.483|13.76|-7.96
415.0|V504 Sgr|1.500000||14.03|1.55
416.0|V773 Sgr|5.748445|12.389|2.85|-0.53
417.0|V1954 Sgr|6.179449|10.831|10.56|-1.73
418.0|V2284 Sgr|1.941920||355.22|-7.54
419.0|V2434 Sgr|2.883800||1.27|-2.63
420.0|V2511 Sgr|1.724757||3.86|-5.58
421.0|V2719 Sgr|70.800000||359.72|-7.15
422.0|V2864 Sgr|75.810000||356.77|-9.36
423.0|V3820 Sgr|14.000000||8.56|-5.66
424.0|V3910 Sgr|6.200000||4.22|-4.90
426.0|RV Sco|6.061306|7.040|350.41|5.67
427.0|RY Sco|20.320144|8.004|356.49|-3.42
428.0|KQ Sco|28.689600|9.807|340.39|-0.75
429.0|V470 Sco|16.261500|11.069|349.76|0.33
430.0|V482 Sco|4.527807|7.965|354.36|0.17
431.0|V500 Sco|9.316839|8.729|359.02|-1.35
432.0|V507 Sco|11.798900||344.78|-4.72
433.0|V516 Sco|15.667500||349.34|-3.65
434.0|V567 Sco|34.048300||343.65|2.39
435.0|V636 Sco|6.796859|6.654|343.51|-5.22
436.0|V706 Sco|12.644400||355.35|-3.47
437.0|V708 Sco|27.178000||355.73|-3.87
438.0|V742 Sco|28.456000||355.72|-4.23
438.5|V950 Sco|3.380450|7.302|349.03|-4.87
439.0|X Sct|4.198070|10.006|19.00|-1.57
440.0|Y Sct|10.341483|9.628|23.96|-0.86
441.0|Z Sct|12.901325|9.600|26.79|-0.77
442.0|RU Sct|19.700620|9.466|28.19|0.23
443.0|SS Sct|3.671253|8.211|25.17|-1.82
444.0|SU Sct|1.467978|13.663|21.92|-5.98
445.0|TY Sct|11.053020|10.831|28.05|0.11
446.0|UZ Sct|14.744200|11.305|19.16|-1.50
447.0|BX Sct|6.411330|12.241|28.90|-1.71
448.0|CK Sct|7.415220|10.590|26.31|-0.47
449.0|CM Sct|3.916977|11.106|27.16|-0.44
450.0|CN Sct|9.992300|12.478|28.06|0.01
451.0|EV Sct|3.090990|10.137|23.97|-0.47
452.0|EW Sct|5.823300|7.979|25.34|-0.09
453.0|FT Sct|5.255370||28.22|-0.50
454.0|NT Sct|1.370000||26.06|-4.25
455.0|PZ Sct|15.000000||24.03|-5.65
456.0|V367 Sct|6.293070|11.596|21.63|-0.83
457.0|AA Ser|17.141200|12.228|30.79|1.74
458.0|BQ Ser|4.270900|9.501|35.13|5.37
459.0|CR Ser|5.301410|10.842|16.17|2.79
460.0|DV Ser|23.063900||29.53|1.41
461.0|ST Tau|4.034299|8.217|193.12|-8.05
462.0|SZ Tau|3.148380|6.531|179.48|-18.74
463.0|AE Tau|3.896450|11.679|181.03|-3.52
464.0|AV Tau|3.615810|12.338|181.61|-0.94
464.3|CN Tau|1.793290|12.719|182.16|1.91
465.0|EU Tau|2.102480|8.093|188.80|-5.32
466.0|R TrA|3.389287|6.660|316.98|-7.76
467.0|S TrA|6.323465|6.397|322.13|-8.22
468.0|U TrA|2.568423|7.878|323.23|-8.04
468.5|LR TrA|2.455000|7.808|318.43|-7.64
469.0|Alp UMi|3.969600|1.982|123.28|26.46
470.0|T Vel|4.639819|8.024|265.55|-3.78
471.0|V Vel|4.371043|7.589|276.57|-4.20
472.0|RY Vel|28.135700|8.397|282.57|1.48
473.0|RZ Vel|20.398240|7.079|262.88|-1.91
474.0|ST Vel|5.858425|9.704|268.81|-4.79
475.0|SV Vel|14.097070|8.524|286.00|2.37
476.0|SW Vel|23.441000|8.120|266.20|-3.00
477.0|SX Vel|9.549930|8.251|265.49|-2.18
478.0|XX Vel|6.984570|10.654|284.81|1.99
479.0|AB Vel|6.245600||283.01|0.59
480.0|AE Vel|7.133570|10.262|276.10|-0.61
481.0|AH Vel|4.227231|5.695|262.44|-6.96
482.0|AP Vel|3.127760|10.017|262.98|-1.37
483.0|AX Vel|3.673100|8.197|263.23|-7.70
484.0|BG Vel|6.923655|7.635|271.86|-2.56
485.0|BH Vel|7.200800||259.77|-1.26
486.0|CO Vel|4.275360||259.04|-0.75
487.0|CP Vel|9.842260|12.762|267.64|-3.20
488.0|CS Vel|5.904740|11.681|277.09|-0.77
489.0|CX Vel|6.255425|11.374|272.37|-3.36
490.0|DK Vel|2.481640|10.614|274.01|-2.69
491.0|DP Vel|5.484380||275.39|-1.30
492.0|DR Vel|11.199300|9.520|273.22|1.33
493.0|EX Vel|13.234100|11.562|274.14|-2.23
494.0|EZ Vel|34.534600|12.448|274.93|-1.94
495.0|FG Vel|6.453200|11.814|275.52|-0.76
496.0|FN Vel|5.324220||279.03|-1.37
497.0|S Vul|68.464000|8.962|63.45|0.83
498.0|T Vul|4.435462|5.754|72.13|-10.15
499.0|U Vul|7.990629|7.128|56.07|-0.29
500.0|X Vul|6.319543|8.849|63.86|-1.28
501.0|SV Vul|44.994772|7.220|63.95|0.32
502.0|AS Vul|12.224726|12.251|63.91|1.26
503.0|BR Vul|5.197170|10.687|59.44|-1.04
504.0|DG Vul|13.608310|11.371|64.95|-0.92
